IFNUM,FERTNM,DESCRIPTION,FMINN,FMINP,FORGN,FORGP,FNH3N,BACTPDB,BACTLPDB,BACKTKDDB,IsManure
1,Elem-N,Elemental Nitrogen,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,Elem-P,Elemental Phosphorous,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0
3,ANH-NH3,Anhydrous Ammonia,0.82,0.0,0.0,0.0,1.0,0.0,0,0,0
4,UREA,UREA,0.46,0.0,0.0,0.0,1.0,0.0,0,0,0
5,46-00-00,46-00-00,0.46,0.0,0.0,0.0,0.0,0.0,0,0,0
6,33-00-00,33-00-00,0.33,0.0,0.0,0.0,0.0,0.0,0,0,0
7,31-13-00,31-13-00,0.31,0.057,0.0,0.0,0.0,0.0,0,0,0
8,30-80-00,30-80-00,0.3,0.352,0.0,0.0,0.0,0.0,0,0,0
9,30-15-00,30-15-00,0.3,0.066,0.0,0.0,0.0,0.0,0,0,0
10,28-10-10,28-10-10,0.28,0.044,0.0,0.0,0.0,0.0,0,0,0
11,28-03-00,28-03-00,0.28,0.013,0.0,0.0,0.0,0.0,0,0,0
12,26-13-00,26-13-00,0.26,0.057,0.0,0.0,0.0,0.0,0,0,0
13,25-05-00,25-05-00,0.25,0.022,0.0,0.0,0.0,0.0,0,0,0
14,25-03-00,25-03-00,0.25,0.013,0.0,0.0,0.0,0.0,0,0,0
15,24-06-00,24-06-00,0.24,0.026,0.0,0.0,0.0,0.0,0,0,0
16,22-14-00,22-14-00,0.22,0.062,0.0,0.0,0.0,0.0,0,0,0
17,20-20-00,20-20-00,0.2,0.088,0.0,0.0,0.0,0.0,0,0,0
18,18-46-00,18-46-00,0.18,0.202,0.0,0.0,0.0,0.0,0,0,0
19,18-04-00,18-04-00,0.18,0.018,0.0,0.0,0.0,0.0,0,0,0
20,6/24/2024,6/24/2024,0.06,0.106,0.0,0.0,0.0,0.0,0,0,0
21,16-20-20,16-20-20,0.16,0.088,0.0,0.0,0.0,0.0,0,0,0
22,15-15-15,15-15-15,0.15,0.066,0.0,0.0,0.0,0.0,0,0,0
23,15-15-00,15-15-00,0.15,0.066,0.0,0.0,0.0,0.0,0,0,0
24,13-13-13,13-13-13,0.13,0.057,0.0,0.0,0.0,0.0,0,0,0
25,12/20/2000,12/20/2000,0.12,0.088,0.0,0.0,0.0,0.0,0,0,0
26,11-52-00,11-52-00,0.11,0.229,0.0,0.0,0.0,0.0,0,0,0
27,11/15/2000,11/15/2000,0.11,0.066,0.0,0.0,0.0,0.0,0,0,0
28,10-34-00,10-34-00,0.1,0.15,0.0,0.0,0.0,0.0,0,0,0
29,10/28/2000,10/28/2000,0.1,0.123,0.0,0.0,0.0,0.0,0,0,0
30,10/10/2010,10/10/2010,0.1,0.044,0.0,0.0,0.0,0.0,0,0,0
31,8/15/2000,8/15/2000,0.08,0.066,0.0,0.0,0.0,0.0,0,0,0
32,8/8/2000,8/8/2000,0.08,0.035,0.0,0.0,0.0,0.0,0,0,0
33,7/7/2000,7/7/2000,0.07,0.031,0.0,0.0,0.0,0.0,0,0,0
34,07-00-00,07-00-00,0.07,0.0,0.0,0.0,0.0,0.0,0,0,0
35,5/10/2015,5/10/2015,0.05,0.044,0.0,0.0,0.0,0.0,0,0,0
36,5/10/2010,5/10/2010,0.05,0.044,0.0,0.0,0.0,0.0,0,0,0
37,5/10/2005,5/10/2005,0.05,0.044,0.0,0.0,0.0,0.0,0,0,0
38,4/8/2000,4/8/2000,0.04,0.035,0.0,0.0,0.0,0.0,0,0,0
39,3/6/2000,3/6/2000,0.03,0.026,0.0,0.0,0.0,0.0,0,0,0
40,2/9/2000,2/9/2000,0.02,0.04,0.0,0.0,0.0,0.0,0,0,0
41,10/20/2020,10/20/2020,0.1,0.088,0.0,0.0,0.0,0.0,0,0,0
42,00-15-00,00-15-00,0.0,0.066,0.0,0.0,0.0,0.0,0,0,0
43,00-06-00,00-06-00,0.0,0.026,0.0,0.0,0.0,0.0,0,0,0
44,DAIRY-FR,Dairy-Fresh Manure,0.007,0.005,0.031,0.003,0.99,0.35,0,0,1
45,BEEF-FR,Beef-Fresh Manure,0.01,0.004,0.03,0.007,0.99,0.3,0,0,1
46,VEAL-FR,Veal-Fresh Manure,0.023,0.006,0.029,0.007,0.99,0.35,0,0,1
47,SWINE-FR,Swine-Fresh Manure,0.026,0.011,0.021,0.005,0.99,0.35,0,0,1
48,SHEEP-FR,Sheep-Fresh Manure,0.014,0.003,0.024,0.005,0.99,0.35,0,0,1
49,GOAT-FR,Goat-Fresh Manure,0.013,0.003,0.022,0.005,0.99,0.35,0,0,1
50,HORSE-FR,Horse-Fresh Manure,0.006,0.001,0.014,0.003,0.99,0.35,0,0,1
51,LAYER-FR,Layer-Fresh Manure,0.013,0.006,0.04,0.013,0.99,0.35,0,0,1
52,BROIL-FR,Broiler-Fresh Manure,0.01,0.004,0.04,0.01,0.99,0.35,0,0,1
53,TURK-FR,Turkey-Fresh Manure,0.007,0.003,0.045,0.016,0.99,0.35,0,0,1
54,DUCK-FR,Duck-Fresh Manure,0.023,0.008,0.025,0.009,0.99,0.35,0,0,1
55,BERM-N-P,BERM-N-P,0.873,0.127,0.0,0.0,0.99,0.35,0,0,1
56,Manure,Manure,0.002,0.007,0.022,0.004,0.972,0.35,0,0,1
57,Liquid,Liquid,0.003,0.001,0.001,0.001,0.987,0.0,0,0,1
58,Liquid,Liquid,0.003,0.001,0.001,0.001,0.987,0.0,0,0,1
59,14-10-05,14-10-05,0.14,0.044,0.0,0.0,0.0,0.0,0,0,0
60,00-00-45,00-00-45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
61,10-00-00,10-00-00,0.1,0.0,0.0,0.0,0.0,0.0,0,0,0
62,11-55-00,11-55-00,0.11,0.242,0.0,0.0,0.0,0.0,0,0,0
63,10-40-10,10-40-10,0.1,0.176,0.0,0.0,0.0,0.0,0,0,0
64,70-10-20,70-10-20,1.0,0.044,0.0,0.0,0.0,0.0,0,0,0
65,85-10-10,85-10-10,0.85,0.044,0.0,0.0,0.0,0.0,0,0,0
66,80-10-10,80-10-10,0.8,0.044,0.0,0.0,0.0,0.0,0,0,0
67,38-25-65,38-25-65,0.375,0.11,0.0,0.0,0.0,0.0,0,0,0
68,36-03-03,36-03-03,0.36,0.013,0.0,0.0,0.0,0.0,0,0,0
69,70-30-20,70-30-20,1.0,0.132,0.0,0.0,0.0,0.0,0,0,0
70,60-30-20,60-30-20,0.6,0.132,0.0,0.0,0.0,0.0,0,0,0
71,10/27/2013,10/27/2013,0.1,0.119,0.0,0.0,0.0,0.0,0,0,0
72,46-25-00,46-25-00,0.46,0.11,0.0,0.0,0.0,0.0,0,0,0
73,34-08-00,34-08-00,0.339,0.035,0.0,0.0,0.0,0.0,0,0,0
74,10-50-00,10-50-00,0.1,0.22,0.0,0.0,0.0,0.0,0,0,0
75,21-00-00,21-00-00,0.21,0.0,0.0,0.0,0.0,0.0,0,0,0
76,13-12-12,13-12-12,0.13,0.053,0.0,0.0,0.0,0.0,0,0,0
77,26-09-12,26-09-12,0.26,0.04,0.0,0.0,0.0,0.0,0,0,0
78,7/4/2005,7/4/2005,0.073,0.043,0.0,0.0,0.0,0.0,0,0,0
79,20-15-10,20-15-10,0.2,0.066,0.0,0.0,0.0,0.0,0,0,0
80,13-12-12,13-12-12,0.13,0.053,0.0,0.0,0.0,0.0,0,0,0
81,80-30-20,80-30-20,0.8,0.132,0.0,0.0,0.0,0.0,0,0,0
82,80-28-10,80-28-10,0.8,0.123,0.0,0.0,0.0,0.0,0,0,0
83,30-20-20,30-20-20,0.3,0.088,0.0,0.0,0.0,0.0,0,0,0
84,6/18/2006,6/18/2006,0.06,0.079,0.0,0.0,0.0,0.0,0,0,0
85,27-07-10,27-07-10,0.27,0.031,0.0,0.0,0.0,0.0,0,0,0
86,80-05-00,80-05-00,0.8,0.022,0.0,0.0,0.0,0.0,0,0,0
87,29-26-00,29-26-00,0.29,0.114,0.0,0.0,0.0,0.0,0,0,0
88,31-22-00,31-22-00,0.313,0.096,0.0,0.0,0.0,0.0,0,0,0
89,60-15-10,60-15-10,0.6,0.066,0.0,0.0,0.0,0.0,0,0,0
90,26-00-00,26-00-00,0.26,0.0,0.0,0.0,0.0,0.0,0,0,0
91,70-20-00,70-20-00,1.0,0.088,0.0,0.0,0.0,0.0,0,0,0
92,33-05-05,33-05-05,0.33,0.022,0.0,0.0,0.0,0.0,0,0,0
100,BEEF-DR,Beef-Dry Manure,0.0018,0.0019,0.0074,0.0014,0.99,0.35,0,0,1
101,BEEF-LQ,Beef-Liquid Manure,0.0015,0.0005,0.0022,0.0003,0.99,0.35,0,0,1
110,BROIL-DR,Broiler-Dry Manure,0.0055,0.0026,0.0216,0.0106,0.99,0.35,0,0,1
120,DAIRYH-DR,Dairy-Dry Manure (young),0.0011,0.0012,0.0073,0.0009,0.99,0.35,0,0,1
121,DAIRY-LQ,Dairy-Liquid Manure,0.0016,0.0005,0.0023,0.0004,0.99,0.35,0,0,1
122,DAIRYM-DR,Dairy-Dry Manure (mature),0.0016,0.0011,0.0053,0.0008,0.99,0.35,0,0,1
130,LAYER-DR,Layer-Dry Manure,0.008,0.0015,0.0084,0.006,0.99,0.35,0,0,1
131,LAYER-LQ,Layer-Liquid Manure,0.0056,0.0006,0.0027,0.0023,0.99,0.35,0,0,1
140,SWINE-DR,Swine-Dry Manure,0.0024,0.002,0.0069,0.0029,0.99,0.35,0,0,1
141,SWINE-LQ,Swine-Liquid Manure,0.0026,0.0005,0.0013,0.0007,0.99,0.35,0,0,1
150,TURK-DR,Turkey-Dry Manure,0.0085,0.0041,0.0173,0.0095,0.99,0.35,0,0,1
491,GOAT-DR,Goat-Dry Manure,0.01,0.0015,0.01,0.002,0.99,0.35,0,0,1
