SOILCODE,SNAM,KS0,DEPTH0,POROSITY0,FC0,P_INDEX0,RM0,WP0,B_DENSITY0,SAND0,CLAY0,SILT0,USLE_K0,INTERFLOW_SCALE_FACTOR0,KS1,DEPTH1,POROSITY1,FC1,P_INDEX1,RM1,WP1,B_DENSITY1,SAND1,CLAY1,SILT1,USLE_K1,INTERFLOW_SCALE_FACTOR1,KS2,POROSITY2,FC2,P_INDEX2,RM2,WP2,B_DENSITY2,SAND2,CLAY2,SILT2,USLE_K2,INTERFLOW_SCALE_FACTOR2,TEXTURE,HG
91,KVNCL,3.53,10,0.464,0.31,8.32,0.075,0.187,1.3,27,37,36,0.3,1,3.53,100,0.464,0.31,8.32,0.075,0.187,1.3,27,37,36,0.3,1,1.375,0.348,0.2325,6.24,0.0563,0.1403,1.1375,8,38,28,0.225,1,9,4
92,KVNCLO,34.55,10,0.464,0.31,8.32,0.075,0.187,0.1,34,30,36,0.3,1,34.55,100,0.464,0.31,8.32,0.075,0.187,0.1,34,30,36,0.3,1,3.956,0.3712,0.248,6.656,0.06,0.1496,1.124,24,21,34,0.24,1,9,4
93,KVNLL,6.15,10,0.463,0.232,5.77,0.027,0.116,1.3,41,23,36,0.3,1,6.15,100,0.463,0.232,5.77,0.027,0.116,1.3,41,23,36,0.3,1,1.5067,0.3087,0.1547,3.8467,0.018,0.0773,1.0267,17,23,25,0.2,1,6,4
94,KVNLO,34.55,10,0.463,0.232,5.77,0.027,0.116,0.1,34,30,36,0.3,1,34.55,100,0.463,0.232,5.77,0.027,0.116,0.1,34,30,36,0.3,1,3.956,0.3704,0.1856,4.616,0.0216,0.0928,1.124,24,21,34,0.24,1,6,4
95,KVNSICL,3.53,10,0.471,0.342,8.32,0.04,0.21,1.3,27,37,36,0.32,1,3.53,100,0.471,0.342,8.32,0.04,0.21,1.3,27,37,36,0.32,1,1.375,0.3533,0.2565,6.24,0.03,0.1575,1.1375,8,38,28,0.24,1,8,4
96,KVNSILW,3.91,10,0.501,0.284,4.98,0.015,0.135,1.23,16,25,59,0.38,1,3.91,100,0.501,0.284,4.98,0.015,0.135,1.23,16,25,59,0.38,1,1.7567,0.334,0.1893,3.32,0.01,0.09,1.0267,17,14,35,0.2533,1,4,4
97,KVNSLC,22.65,10,0.453,0.19,4.5,0.041,0.085,1.2,69,15,16,0.13,1,22.65,100,0.453,0.19,4.5,0.041,0.085,1.2,69,15,16,0.13,1,0.8,0.2265,0.095,2.25,0.0205,0.0425,0.805,13,20,16,0.065,1,3,4
98,LICCLL,3.08,10,0.464,0.31,8.32,0.075,0.187,1.31,18,38,44,0.3,1,3.08,100,0.464,0.31,8.32,0.075,0.187,1.31,18,38,44,0.3,1,1.5225,0.348,0.2325,6.24,0.0563,0.1403,1.1025,3,46,25,0.225,1,9,4
99,LICORGO,34.55,10,0.464,0.31,8.32,0.075,0.187,0.1,8,59,33,0.3,1,34.55,105,0.464,0.31,8.32,0.075,0.187,0.1,8,59,33,0.3,1,73.2,0.3867,0.2583,6.9333,0.0625,0.1558,1.1017,2,52,28,0.25,1,9,4
100,LICSIC,3.61,10,0.479,0.371,10.38,0.056,0.251,1.21,12,50,38,0.26,1,3.61,100,0.479,0.371,10.38,0.056,0.251,1.21,12,50,38,0.26,1,1.49,0.3593,0.2783,7.785,0.042,0.1883,1.1075,2,42,30,0.195,1,11,4
101,LICSICL,3.61,10,0.471,0.342,8.32,0.04,0.21,1.21,12,50,38,0.32,1,3.61,100,0.471,0.342,8.32,0.04,0.21,1.21,12,50,38,0.32,1,1.49,0.3533,0.2565,6.24,0.03,0.1575,1.1075,2,42,30,0.24,1,8,4
102,LICSICSH,39.31,10,0.479,0.371,10.38,0.056,0.251,1.22,76,10,14,0.26,1,39.31,100,0.479,0.371,10.38,0.056,0.251,1.22,76,10,14,0.26,1,1.3533,0.3193,0.2473,6.92,0.0373,0.1673,0.98,3,45,18,0.1733,1,11,3
103,LICSICV,39.31,10,0.479,0.371,10.38,0.056,0.251,1.22,76,10,14,0.26,1,39.31,100,0.479,0.371,10.38,0.056,0.251,1.22,76,10,14,0.26,1,1.3533,0.3193,0.2473,6.92,0.0373,0.1673,0.98,3,45,18,0.1733,1,11,3
104,LICSLC,39.31,10,0.453,0.19,4.5,0.041,0.085,1.22,76,10,14,0.13,1,39.31,100,0.453,0.19,4.5,0.041,0.085,1.22,76,10,14,0.13,1,1.3533,0.302,0.1267,3,0.0273,0.0567,0.98,3,45,18,0.0867,1,3,4
105,LODL,9.72,10,0.463,0.232,5.77,0.027,0.116,1.26,38,15,47,0.3,1,9.72,100,0.463,0.232,5.77,0.027,0.116,1.26,38,15,47,0.3,1,8.095,0.3473,0.174,4.3275,0.0203,0.087,1.1525,37,9,29,0.225,1,6,2
106,LODSIL,9.72,10,0.501,0.284,4.98,0.015,0.135,1.26,38,15,47,0.38,1,9.72,100,0.501,0.284,4.98,0.015,0.135,1.26,38,15,47,0.38,1,8.095,0.3758,0.213,3.735,0.0113,0.1013,1.1525,37,9,29,0.285,1,4,2
107,LOWSL,73.18,10,0.453,0.19,4.5,0.041,0.085,1.01,79,7,14,0.13,1,73.18,100,0.453,0.19,4.5,0.041,0.085,1.01,79,7,14,0.13,1,46.97,0.302,0.1267,3,0.0273,0.0567,0.9867,62,1,3,0.0867,1,3,2
108,MPWL,14.49,10,0.463,0.232,5.77,0.027,0.116,1.27,53,15,32,0.3,1,14.49,100,0.463,0.232,5.77,0.027,0.116,1.27,53,15,32,0.3,1,2.176,0.3704,0.1856,4.616,0.0216,0.0928,1.168,16,23,40,0.24,1,6,3
109,MPWLO,34.55,10,0.463,0.232,5.77,0.027,0.116,0.1,53,15,32,0.3,1,34.55,100,0.463,0.232,5.77,0.027,0.116,0.1,53,15,32,0.3,1,4.2283,0.3858,0.1933,4.8083,0.0225,0.0967,1.185,22,21,39,0.25,1,6,3
110,MPWLT,7.83,10,0.463,0.232,5.77,0.027,0.116,1.28,41,19,40,0.3,1,7.83,100,0.463,0.232,5.77,0.027,0.116,1.28,41,19,40,0.3,1,2.0667,0.3087,0.1547,3.8467,0.018,0.0773,0.9867,20,18,28,0.2,1,6,3
111,MPWSIL,14.49,10,0.501,0.284,4.98,0.015,0.135,1.27,53,15,32,0.38,1,14.49,100,0.501,0.284,4.98,0.015,0.135,1.27,53,15,32,0.38,1,2.176,0.4008,0.2272,3.984,0.012,0.108,1.168,16,23,40,0.304,1,4,3
112,MPWSLT,7.83,10,0.453,0.19,4.5,0.041,0.085,1.28,41,19,40,0.13,1,7.83,100,0.453,0.19,4.5,0.041,0.085,1.28,41,19,40,0.13,1,2.0667,0.302,0.1267,3,0.0273,0.0567,0.9867,20,18,28,0.0867,1,3,3
113,MUICL,3.28,10,0.464,0.31,8.32,0.075,0.187,1.33,24,35,41,0.3,1,3.28,100,0.464,0.31,8.32,0.075,0.187,1.33,24,35,41,0.3,1,1.605,0.348,0.2325,6.24,0.0563,0.1403,1.1175,14,29,31,0.225,1,9,3
114,MUILL,8.28,10,0.463,0.232,5.77,0.027,0.116,1.32,46,19,35,0.3,1,8.28,100,0.463,0.232,5.77,0.027,0.116,1.32,46,19,35,0.3,1,1.4375,0.3473,0.174,4.3275,0.0203,0.087,1.1375,13,32,29,0.225,1,6,3
115,MUILW,10.92,10,0.463,0.232,5.77,0.027,0.116,1.33,44,14,42,0.3,1,10.92,100,0.463,0.232,5.77,0.027,0.116,1.33,44,14,42,0.3,1,4.34,0.3473,0.174,4.3275,0.0203,0.087,1.1525,23,8,43,0.225,1,6,3
116,MUISICL,3.28,10,0.471,0.342,8.32,0.04,0.21,1.33,24,35,41,0.32,1,3.28,100,0.471,0.342,8.32,0.04,0.21,1.33,24,35,41,0.32,1,1.605,0.3533,0.2565,6.24,0.03,0.1575,1.1175,14,29,31,0.24,1,8,3
117,MUISIL,3.28,10,0.501,0.284,4.98,0.015,0.135,1.33,24,35,41,0.38,1,3.28,100,0.501,0.284,4.98,0.015,0.135,1.33,24,35,41,0.38,1,1.605,0.3758,0.213,3.735,0.0113,0.1013,1.1175,14,29,31,0.285,1,4,3
118,MUISL,3.28,10,0.453,0.19,4.5,0.041,0.085,1.33,24,35,41,0.13,1,3.28,100,0.453,0.19,4.5,0.041,0.085,1.33,24,35,41,0.13,1,1.605,0.3398,0.1425,3.375,0.0308,0.0638,1.1175,14,29,31,0.0975,1,3,3
119,MUISLC,23.84,10,0.453,0.19,4.5,0.041,0.085,1.34,64,11,25,0.13,1,23.84,100,0.453,0.19,4.5,0.041,0.085,1.34,64,11,25,0.13,1,1.2767,0.302,0.1267,3,0.0273,0.0567,1.0267,11,20,34,0.0867,1,3,3
120,NDELSC,51.3,10,0.437,0.105,3.86,0.035,0.047,1.34,79,6,15,0.04,1,51.3,100,0.437,0.105,3.86,0.035,0.047,1.34,79,6,15,0.04,1,46.858,0.3496,0.084,3.088,0.028,0.0376,1.148,64,3,11,0.032,1,2,2
121,NDESL,99.55,10,0.453,0.19,4.5,0.041,0.085,0.88,84,6,10,0.13,1,99.55,150,0.453,0.19,4.5,0.041,0.085,0.88,84,6,10,0.13,1,67.702,0.3624,0.152,3.6,0.0328,0.068,1.132,76,1,2,0.104,1,3,2
122,NGRSICL,2.56,10,0.471,0.342,8.32,0.04,0.21,1.39,15,42,43,0.32,1,2.56,100,0.471,0.342,8.32,0.04,0.21,1.39,15,42,43,0.32,1,1.4375,0.3533,0.2565,6.24,0.03,0.1575,1.1125,1,47,26,0.24,1,8,3
123,NGRSLC,4.78,10,0.453,0.19,4.5,0.041,0.085,1.07,16,37,47,0.13,1,4.78,100,0.453,0.19,4.5,0.041,0.085,1.07,16,37,47,0.13,1,1.33,0.302,0.1267,3,0.0273,0.0567,0.9867,6,28,31,0.0867,1,3,3
124,OKLSL,39.54,10,0.453,0.19,4.5,0.041,0.085,1.14,70,10,20,0.13,1,39.54,100,0.453,0.19,4.5,0.041,0.085,1.14,70,10,20,0.13,1,17.174,0.3624,0.152,3.6,0.0328,0.068,1.278,55,7,16,0.104,1,3,2
125,OTISIL,36.21,10,0.501,0.284,4.98,0.015,0.135,1.38,55,20,25,0.38,1,36.21,100,0.501,0.284,4.98,0.015,0.135,1.38,55,20,25,0.38,1,17.0725,0.3758,0.213,3.735,0.0113,0.1013,1.1125,21,39,14,0.285,1,4,3
126,OTISLC,6.63,10,0.453,0.19,4.5,0.041,0.085,0.88,16,40,44,0.13,1,6.63,100,0.453,0.19,4.5,0.041,0.085,0.88,16,40,44,0.13,1,0.99,0.302,0.1267,3,0.0273,0.0567,1.0767,13,35,18,0.0867,1,3,3
127,PFDLS,86.68,10,0.437,0.105,3.86,0.035,0.047,1.43,97,1,2,0.04,1,86.68,240,0.437,0.105,3.86,0.035,0.047,1.43,97,1,2,0.04,1,80.6125,0.3824,0.0919,3.3775,0.0306,0.0411,1.2263,84,0,2,0.035,1,2,1
128,PFDS,86.68,10,0.437,0.062,3.39,0.02,0.024,1.43,97,1,2,0.02,1,86.68,240,0.437,0.062,3.39,0.02,0.024,1.43,97,1,2,0.02,1,80.6125,0.3824,0.0543,2.9663,0.0175,0.021,1.2263,84,0,2,0.0175,1,1,1
129,PFDSD,89.8,10,0.437,0.062,3.39,0.02,0.024,1.09,91,5,4,0.02,1,89.8,125,0.437,0.062,3.39,0.02,0.024,1.09,91,5,4,0.02,1,50.36,0.3496,0.0496,2.712,0.016,0.0192,1.15,76,3,0,0.016,1,1,1
130,PLLL,5.83,10,0.463,0.232,5.77,0.027,0.116,1.02,18,24,58,0.3,1,5.83,100,0.463,0.232,5.77,0.027,0.116,1.02,18,24,58,0.3,1,1.5667,0.3087,0.1547,3.8467,0.018,0.0773,1.0267,14,14,38,0.2,1,6,3
131,PTHCL,4.22,10,0.464,0.31,8.32,0.075,0.187,1.26,22,23,55,0.3,1,4.22,110,0.464,0.31,8.32,0.075,0.187,1.26,22,23,55,0.3,1,1.85,0.3712,0.248,6.656,0.06,0.1496,1.22,18,25,37,0.24,1,9,3
132,PTHSIL,4.22,10,0.501,0.284,4.98,0.015,0.135,1.26,22,23,55,0.38,1,4.22,110,0.501,0.284,4.98,0.015,0.135,1.26,22,23,55,0.38,1,1.85,0.4008,0.2272,3.984,0.012,0.108,1.22,18,25,37,0.304,1,4,3
133,SDDSL,117.5,10,0.453,0.19,4.5,0.041,0.085,0.99,82,6,12,0.13,1,117.5,125,0.453,0.19,4.5,0.041,0.085,0.99,82,6,12,0.13,1,53.9167,0.3775,0.1583,3.75,0.0342,0.0708,1.1683,75,3,4,0.1083,1,3,1
134,SGRLS,66.19,10,0.437,0.105,3.86,0.035,0.047,1.1,82,7,11,0.04,1,66.19,125,0.437,0.105,3.86,0.035,0.047,1.1,82,7,11,0.04,1,49.3175,0.3278,0.0788,2.895,0.0263,0.0353,1.1075,70,2,3,0.03,1,2,3
135,SHVLSL,3.76,10,0.437,0.105,3.86,0.035,0.047,1.28,22,28,50,0.04,1,3.76,100,0.437,0.105,3.86,0.035,0.047,1.28,22,28,50,0.04,1,1.3025,0.3278,0.0788,2.895,0.0263,0.0353,1.145,3,43,28,0.03,1,2,3
136,SHVSICL,3,10,0.471,0.342,8.32,0.04,0.21,1.3,5,31,64,0.32,1,3,105,0.471,0.342,8.32,0.04,0.21,1.3,5,31,64,0.32,1,1.77,0.3925,0.285,6.9333,0.0333,0.175,1.2083,1,50,31,0.2667,1,8,3
137,SHVSICLSH,174,10,0.471,0.342,8.32,0.04,0.21,0.85,14,31,55,0.32,1,174,100,0.471,0.342,8.32,0.04,0.21,0.85,14,31,55,0.32,1,91.35,0.3533,0.2565,6.24,0.03,0.1575,1.0225,2,42,29,0.24,1,8,2
138,SHVSICLV,174,10,0.471,0.342,8.32,0.04,0.21,0.85,14,31,55,0.32,1,174,100,0.471,0.342,8.32,0.04,0.21,0.85,14,31,55,0.32,1,78.6,0.314,0.228,5.5467,0.0267,0.14,0.8767,3,36,27,0.2133,1,8,2
139,SHVSLC,7.74,10,0.453,0.19,4.5,0.041,0.085,1.28,57,25,18,0.13,1,7.74,100,0.453,0.19,4.5,0.041,0.085,1.28,57,25,18,0.13,1,1.3025,0.3398,0.1425,3.375,0.0308,0.0638,1.145,3,43,28,0.0975,1,3,3
140,SIHSL,62.14,10,0.453,0.19,4.5,0.041,0.085,1.21,79,6,15,0.13,1,62.14,130,0.453,0.19,4.5,0.041,0.085,1.21,79,6,15,0.13,1,31.81,0.3775,0.1583,3.75,0.0342,0.0708,1.235,46,3,33,0.1083,1,3,2
141,SLDSICL,14.49,10,0.471,0.342,8.32,0.04,0.21,1.27,53,15,32,0.32,1,14.49,100,0.471,0.342,8.32,0.04,0.21,1.27,53,15,32,0.32,1,2.176,0.3768,0.2736,6.656,0.032,0.168,1.168,16,23,40,0.256,1,8,4
142,SLISL,42.78,10,0.453,0.19,4.5,0.041,0.085,1.15,69,9,22,0.13,1,42.78,100,0.453,0.19,4.5,0.041,0.085,1.15,69,9,22,0.13,1,30.0333,0.302,0.1267,3,0.0273,0.0567,0.9867,52,3,10,0.0867,1,3,2
143,SLISLO,34.55,10,0.453,0.19,4.5,0.041,0.085,0.1,69,9,22,0.13,1,34.55,100,0.453,0.19,4.5,0.041,0.085,0.1,69,9,22,0.13,1,33.22,0.3398,0.1425,3.375,0.0308,0.0638,1.0275,56,5,13,0.0975,1,3,2
144,SNALSC,17.75,10,0.437,0.105,3.86,0.035,0.047,1.17,49,19,32,0.04,1,17.75,100,0.437,0.105,3.86,0.035,0.047,1.17,49,19,32,0.04,1,8.175,0.3278,0.0788,2.895,0.0263,0.0353,1.1225,36,13,25,0.03,1,2,2
145,SNASIL,16.2,10,0.501,0.284,4.98,0.015,0.135,1.34,32,21,47,0.38,1,16.2,100,0.501,0.284,4.98,0.015,0.135,1.34,32,21,47,0.38,1,3.2433,0.334,0.1893,3.32,0.01,0.09,1.1367,19,14,32,0.2533,1,4,2
146,SNASILSH,16.2,10,0.501,0.284,4.98,0.015,0.135,1.34,32,21,47,0.38,1,16.2,100,0.501,0.284,4.98,0.015,0.135,1.34,32,21,47,0.38,1,3.2433,0.334,0.1893,3.32,0.01,0.09,1.1367,19,14,32,0.2533,1,4,1
147,SNASILV,16.2,10,0.501,0.284,4.98,0.015,0.135,1.34,32,21,47,0.38,1,16.2,100,0.501,0.284,4.98,0.015,0.135,1.34,32,21,47,0.38,1,3.2433,0.334,0.1893,3.32,0.01,0.09,1.1367,19,14,32,0.2533,1,4,1
148,STDL,46.87,10,0.463,0.232,5.77,0.027,0.116,1.38,64,5,31,0.3,1,46.87,100,0.463,0.232,5.77,0.027,0.116,1.38,64,5,31,0.3,1,40.598,0.3704,0.1856,4.616,0.0216,0.0928,1.148,64,4,11,0.24,1,6,1
149,STDLS,46.87,10,0.437,0.105,3.86,0.035,0.047,1.38,64,5,31,0.04,1,46.87,100,0.437,0.105,3.86,0.035,0.047,1.38,64,5,31,0.04,1,40.598,0.3496,0.084,3.088,0.028,0.0376,1.148,64,4,11,0.032,1,2,1
150,TEWL,10.58,10,0.463,0.232,5.77,0.027,0.116,1.16,31,13,56,0.3,1,10.58,110,0.463,0.232,5.77,0.027,0.116,1.16,31,13,56,0.3,1,17.325,0.3858,0.1933,4.8083,0.0225,0.0967,1.2083,40,10,33,0.25,1,6,2
151,TEWSIL,10.58,10,0.501,0.284,4.98,0.015,0.135,1.16,31,13,56,0.38,1,10.58,110,0.501,0.284,4.98,0.015,0.135,1.16,31,13,56,0.38,1,17.325,0.4175,0.2367,4.15,0.0125,0.1125,1.2083,40,10,33,0.3167,1,4,2
152,THNSIL,179.3,10,0.501,0.284,4.98,0.015,0.135,0.97,24,18,58,0.38,1,179.3,100,0.501,0.284,4.98,0.015,0.135,0.97,24,18,58,0.38,1,45.6075,0.3758,0.213,3.735,0.0113,0.1013,1.03,22,13,39,0.285,1,4,2
153,TLDC,4.03,10,0.475,0.378,12.13,0.09,0.251,1.14,7,42,51,0.22,1,4.03,100,0.475,0.378,12.13,0.09,0.251,1.14,7,42,51,0.22,1,1.525,0.3563,0.2835,9.0975,0.0675,0.1883,1.1075,5,31,38,0.165,1,12,4
154,TLDLL,9.35,10,0.463,0.232,5.77,0.027,0.116,1.4,56,18,26,0.3,1,9.35,100,0.463,0.232,5.77,0.027,0.116,1.4,56,18,26,0.3,1,3.8775,0.3473,0.174,4.3275,0.0203,0.087,1.1325,18,22,34,0.225,1,6,4
155,TLDSICL,4.03,10,0.471,0.342,8.32,0.04,0.21,1.14,7,42,51,0.32,1,4.03,100,0.471,0.342,8.32,0.04,0.21,1.14,7,42,51,0.32,1,1.525,0.3533,0.2565,6.24,0.03,0.1575,1.1075,5,31,38,0.24,1,8,4
156,TLDSICLV,4.03,10,0.471,0.342,8.32,0.04,0.21,1.14,7,42,51,0.32,1,4.03,100,0.471,0.342,8.32,0.04,0.21,1.14,7,42,51,0.32,1,1.525,0.3533,0.2565,6.24,0.03,0.1575,1.1075,5,31,38,0.24,1,8,3
157,TLDSILSH,4.03,10,0.501,0.284,4.98,0.015,0.135,1.14,7,42,51,0.38,1,4.03,100,0.501,0.284,4.98,0.015,0.135,1.14,7,42,51,0.38,1,1.3867,0.334,0.1893,3.32,0.01,0.09,0.98,6,27,33,0.2533,1,4,3
158,TLDSLC,9.35,10,0.453,0.19,4.5,0.041,0.085,1.4,56,18,26,0.13,1,9.35,100,0.453,0.19,4.5,0.041,0.085,1.4,56,18,26,0.13,1,3.8775,0.3398,0.1425,3.375,0.0308,0.0638,1.1325,18,22,34,0.0975,1,3,4
159,TUCL,4.53,10,0.463,0.232,5.77,0.027,0.116,1.22,22,23,55,0.3,1,4.53,100,0.463,0.232,5.77,0.027,0.116,1.22,22,23,55,0.3,1,29.9017,0.3858,0.1933,4.8083,0.0225,0.0967,1.2217,5,22,55,0.25,1,6,3
160,TUCLSH,4.53,10,0.463,0.232,5.77,0.027,0.116,1.22,22,23,55,0.3,1,4.53,100,0.463,0.232,5.77,0.027,0.116,1.22,22,23,55,0.3,1,1.7575,0.3473,0.174,4.3275,0.0203,0.087,1.0875,7,16,51,0.225,1,6,2
161,TUCLV,4.53,10,0.463,0.232,5.77,0.027,0.116,1.22,22,23,55,0.3,1,4.53,100,0.463,0.232,5.77,0.027,0.116,1.22,22,23,55,0.3,1,1.7575,0.3473,0.174,4.3275,0.0203,0.087,1.0875,7,16,51,0.225,1,6,2
162,TUCSIL,4.53,10,0.501,0.284,4.98,0.015,0.135,1.22,22,23,55,0.38,1,4.53,100,0.501,0.284,4.98,0.015,0.135,1.22,22,23,55,0.38,1,29.9017,0.4175,0.2367,4.15,0.0125,0.1125,1.2217,5,22,55,0.3167,1,4,3
163,TUCSLC,28.52,10,0.453,0.19,4.5,0.041,0.085,1.53,79,8,13,0.13,1,28.52,100,0.453,0.19,4.5,0.041,0.085,1.53,79,8,13,0.13,1,11.1175,0.3398,0.1425,3.375,0.0308,0.0638,1.2075,47,9,18,0.0975,1,3,3
164,TVKL,3.9,10,0.463,0.232,5.77,0.027,0.116,1.33,19,18,63,0.3,1,3.9,100,0.463,0.232,5.77,0.027,0.116,1.33,19,18,63,0.3,1,2.032,0.3704,0.1856,4.616,0.0216,0.0928,1.172,10,23,45,0.24,1,6,3
165,TVKLT,1.7,10,0.463,0.232,5.77,0.027,0.116,1.34,30,15,55,0.3,1,1.7,100,0.463,0.232,5.77,0.027,0.116,1.34,30,15,55,0.3,1,12.932,0.3704,0.1856,4.616,0.0216,0.0928,1.126,23,12,44,0.24,1,6,3
166,TVKSILT,1.7,10,0.501,0.284,4.98,0.015,0.135,1.34,30,15,55,0.38,1,1.7,100,0.501,0.284,4.98,0.015,0.135,1.34,30,15,55,0.38,1,12.932,0.4008,0.2272,3.984,0.012,0.108,1.126,23,12,44,0.304,1,4,3
167,UNALU,4.94,10,0.471,0.342,8.32,0.04,0.21,1.08,15,25,60,0.32,1,4.94,100,0.471,0.342,8.32,0.04,0.21,1.08,15,25,60,0.32,1,2.3,0.3533,0.2565,6.24,0.03,0.1575,1.0675,16,19,39,0.24,1,8,3
168,UNALU_2,4.94,10,0.463,0.232,5.77,0.027,0.116,1.08,15,25,60,0.3,1,4.94,100,0.463,0.232,5.77,0.027,0.116,1.08,15,25,60,0.3,1,2.3,0.3473,0.174,4.3275,0.0203,0.087,1.0675,16,19,39,0.225,1,6,3
169,UNBAY,31.43,10,0.437,0.105,3.86,0.035,0.047,1.06,61,12,27,0.04,1,31.43,100,0.437,0.105,3.86,0.035,0.047,1.06,61,12,27,0.04,1,10.685,0.3278,0.0788,2.895,0.0263,0.0353,1.0925,47,10,17,0.03,1,2,2
170,UNBAY_LS,31.43,10,0.463,0.232,5.77,0.027,0.116,1.06,50,12,38,0.3,1,31.43,100,0.463,0.232,5.77,0.027,0.116,1.06,50,12,38,0.3,1,10.685,0.3473,0.174,4.3275,0.0203,0.087,1.0925,35,10,28,0.225,1,6,2
171,UNBFO,3.6,10,0.471,0.342,8.32,0.04,0.21,1.33,34,38,28,0.32,1,3.6,100,0.471,0.342,8.32,0.04,0.21,1.33,34,38,28,0.32,1,1.8325,0.3533,0.2565,6.24,0.03,0.1575,1.0875,9,22,43,0.24,1,8,3
172,UNBFO_S,3.6,10,0.471,0.342,8.32,0.04,0.21,1.33,34,38,28,0.32,1,3.6,100,0.471,0.342,8.32,0.04,0.21,1.33,34,38,28,0.32,1,1.8325,0.3533,0.2565,6.24,0.03,0.1575,1.0875,9,22,43,0.24,1,8,2
173,UNBOO,43.92,10,0.437,0.062,3.39,0.02,0.024,1.34,65,6,29,0.02,1,43.92,100,0.437,0.062,3.39,0.02,0.024,1.34,65,6,29,0.02,1,24.8617,0.3642,0.0517,2.825,0.0167,0.02,1.2217,39,17,27,0.0167,1,1,2
174,UNBOO_SL,43.92,10,0.453,0.19,4.5,0.041,0.085,1.34,65,6,29,0.13,1,43.92,100,0.453,0.19,4.5,0.041,0.085,1.34,65,6,29,0.13,1,24.8617,0.3775,0.1583,3.75,0.0342,0.0708,1.2217,39,17,27,0.1083,1,3,2
175,UNBRR,24.63,10,0.453,0.19,4.5,0.041,0.085,1.3,68,12,20,0.13,1,24.63,100,0.453,0.19,4.5,0.041,0.085,1.3,68,12,20,0.13,1,19.4117,0.3775,0.1583,3.75,0.0342,0.0708,1.2217,35,19,28,0.1083,1,3,3
176,UNBRR_H,50.88,10,0.453,0.19,4.5,0.041,0.085,1.19,78,8,14,0.13,1,50.88,100,0.453,0.19,4.5,0.041,0.085,1.19,78,8,14,0.13,1,34.5733,0.3775,0.1583,3.75,0.0342,0.0708,1.1917,57,15,11,0.1083,1,3,3
177,UNBRR_T,72.29,10,0.453,0.19,4.5,0.041,0.085,1.3,86,4,10,0.13,1,72.29,100,0.453,0.19,4.5,0.041,0.085,1.3,86,4,10,0.13,1,35.836,0.3624,0.152,3.6,0.0328,0.068,1.172,40,14,24,0.104,1,3,3
178,UNBRT,2.95,10,0.463,0.232,5.77,0.027,0.116,1.33,7,19,74,0.3,1,2.95,100,0.463,0.232,5.77,0.027,0.116,1.33,7,19,74,0.3,1,1.8667,0.3858,0.1933,4.8083,0.0225,0.0967,1.2017,2,15,65,0.25,1,6,2
179,UNBUF,11.57,10,0.463,0.232,5.77,0.027,0.116,1.26,35,12,53,0.3,1,11.57,100,0.463,0.232,5.77,0.027,0.116,1.26,35,12,53,0.3,1,8.768,0.3704,0.1856,4.616,0.0216,0.0928,1.164,41,15,23,0.24,1,6,1
180,UNBUF_Q,17.74,10,0.463,0.232,5.77,0.027,0.116,1.26,49,12,39,0.3,1,17.74,125,0.463,0.232,5.77,0.027,0.116,1.26,49,12,39,0.3,1,15.9,0.3704,0.1856,4.616,0.0216,0.0928,1.164,48,9,22,0.24,1,6,1
181,UNBUF_SL,11.57,10,0.453,0.19,4.5,0.041,0.085,1.26,35,12,53,0.13,1,11.57,100,0.453,0.19,4.5,0.041,0.085,1.26,35,12,53,0.13,1,8.768,0.3624,0.152,3.6,0.0328,0.068,1.164,41,15,23,0.104,1,3,1
