SOILCODE,SNAM,KS0,DEPTH0,POROSITY0,FC0,P_INDEX0,RM0,WP0,B_DENSITY0,SAND0,CLAY0,SILT0,USLE_K0,INTERFLOW_SCALE_FACTOR0,KS1,DEPTH1,POROSITY1,FC1,P_INDEX1,RM1,WP1,B_DENSITY1,SAND1,CLAY1,SILT1,USLE_K1,INTERFLOW_SCALE_FACTOR1,KS2,POROSITY2,FC2,P_INDEX2,RM2,WP2,B_DENSITY2,SAND2,CLAY2,SILT2,USLE_K2,INTERFLOW_SCALE_FACTOR2,TEXTURE,HG
182,UNBVY,21.09,10,0.471,0.342,8.32,0.04,0.21,1.21,10,38,52,0.32,1,21.09,105,0.471,0.342,8.32,0.04,0.21,1.21,10,38,52,0.32,1,1.62,0.3533,0.2565,6.24,0.03,0.1575,1.0875,5,35,35,0.24,1,8,3
183,UNBVY_C,25.09,10,0.453,0.19,4.5,0.041,0.085,1.21,66,13,21,0.13,1,25.09,100,0.453,0.19,4.5,0.041,0.085,1.21,66,13,21,0.13,1,6.5725,0.3398,0.1425,3.375,0.0308,0.0638,1.0875,22,25,27,0.0975,1,3,3
184,UNBVY_L,4.22,10,0.463,0.232,5.77,0.027,0.116,1.26,23,24,53,0.3,1,4.22,100,0.463,0.232,5.77,0.027,0.116,1.26,23,24,53,0.3,1,1.6525,0.3473,0.174,4.3275,0.0203,0.087,1.0875,6,32,36,0.225,1,6,3
185,UNBVY_SH,21.09,10,0.471,0.342,8.32,0.04,0.21,1.21,10,38,52,0.32,1,21.09,100,0.471,0.342,8.32,0.04,0.21,1.21,10,38,52,0.32,1,1.62,0.3533,0.2565,6.24,0.03,0.1575,1.0875,5,35,35,0.24,1,8,2
186,UNBVY_V,21.09,10,0.471,0.342,8.32,0.04,0.21,1.21,10,38,52,0.32,1,21.09,105,0.471,0.342,8.32,0.04,0.21,1.21,10,38,52,0.32,1,1.62,0.3533,0.2565,6.24,0.03,0.1575,1.0875,5,35,35,0.24,1,8,2
187,UNCAD,25.38,10,0.463,0.232,5.77,0.027,0.116,1.33,60,10,30,0.3,1,25.38,100,0.463,0.232,5.77,0.027,0.116,1.33,60,10,30,0.3,1,38.09,0.3858,0.1933,4.8083,0.0225,0.0967,1.2117,62,5,15,0.25,1,6,1
188,UNCML,24.42,10,0.453,0.19,4.5,0.041,0.085,1.28,65,12,23,0.13,1,24.42,100,0.453,0.19,4.5,0.041,0.085,1.28,65,12,23,0.13,1,20.695,0.3398,0.1425,3.375,0.0308,0.0638,1.0875,54,8,12,0.0975,1,3,2
189,UNCWO,0.6,10,0.501,0.284,4.98,0.015,0.135,0.88,23,22,55,0.38,1,0.6,100,0.501,0.284,4.98,0.015,0.135,0.88,23,22,55,0.38,1,0.42,0.4008,0.2272,3.984,0.012,0.108,1.188,26,13,39,0.304,1,4,3
190,UNEBR_SiL,8.94,10,0.501,0.284,4.98,0.015,0.135,1.27,36,15,49,0.38,1,8.94,100,0.501,0.284,4.98,0.015,0.135,1.27,36,15,49,0.38,1,8.065,0.3758,0.213,3.735,0.0113,0.1013,1.1725,40,10,24,0.285,1,4,3
191,UNFOX,23.98,10,0.453,0.19,4.5,0.041,0.085,1.28,64,12,24,0.13,1,23.98,100,0.453,0.19,4.5,0.041,0.085,1.28,64,12,24,0.13,1,27.78,0.3398,0.1425,3.375,0.0308,0.0638,1.0675,58,6,10,0.0975,1,3,1
192,UNFOX_LS,23.98,10,0.437,0.105,3.86,0.035,0.047,1.28,64,12,24,0.04,1,23.98,100,0.437,0.105,3.86,0.035,0.047,1.28,64,12,24,0.04,1,27.78,0.3278,0.0788,2.895,0.0263,0.0353,1.0675,58,6,10,0.03,1,2,1
193,UNGNY,58.58,10,0.437,0.105,3.86,0.035,0.047,1.08,78,8,14,0.04,1,58.58,110,0.437,0.105,3.86,0.035,0.047,1.08,78,8,14,0.04,1,26.408,0.3496,0.084,3.088,0.028,0.0376,1.188,65,7,7,0.032,1,2,3
194,UNGNY_SL,58.58,10,0.453,0.19,4.5,0.041,0.085,1.08,78,8,14,0.13,1,58.58,110,0.453,0.19,4.5,0.041,0.085,1.08,78,8,14,0.13,1,26.408,0.3624,0.152,3.6,0.0328,0.068,1.188,65,7,7,0.104,1,3,3
195,UNGOB,3.89,10,0.464,0.31,8.32,0.075,0.187,1.23,19,29,52,0.3,1,3.89,100,0.464,0.31,8.32,0.075,0.187,1.23,19,29,52,0.3,1,1.2375,0.348,0.2325,6.24,0.0563,0.1403,1.1725,8,29,37,0.225,1,9,3
196,UNGOB_L,7.16,10,0.463,0.232,5.77,0.027,0.116,1.2,41,23,36,0.3,1,7.16,100,0.463,0.232,5.77,0.027,0.116,1.2,41,23,36,0.3,1,2.47,0.3473,0.174,4.3275,0.0203,0.087,1.0875,18,25,31,0.225,1,6,3
197,UNGUP,15.4,10,0.501,0.284,4.98,0.015,0.135,1.32,51,13,36,0.38,1,15.4,100,0.501,0.284,4.98,0.015,0.135,1.32,51,13,36,0.38,1,5.8467,0.334,0.1893,3.32,0.01,0.09,1.0267,33,10,23,0.2533,1,4,2
198,UNGUP_L,15.4,10,0.463,0.232,5.77,0.027,0.116,1.32,51,13,36,0.3,1,15.4,100,0.463,0.232,5.77,0.027,0.116,1.32,51,13,36,0.3,1,5.8467,0.3087,0.1547,3.8467,0.018,0.0773,1.0267,33,10,23,0.2,1,6,2
199,UNHHG,33.57,10,0.453,0.19,4.5,0.041,0.085,1.32,69,9,22,0.13,1,33.57,100,0.453,0.19,4.5,0.041,0.085,1.32,69,9,22,0.13,1,27.772,0.3624,0.152,3.6,0.0328,0.068,1.148,58,6,14,0.104,1,3,2
200,UNHIM,3.31,10,0.479,0.371,10.38,0.056,0.251,1.26,9,31,60,0.26,1,3.31,105,0.479,0.371,10.38,0.056,0.251,1.26,9,31,60,0.26,1,1.755,0.3992,0.3092,8.65,0.0467,0.2092,1.2117,1,53,27,0.2167,1,11,3
201,UNHIM_C,3.31,10,0.453,0.19,4.5,0.041,0.085,1.26,60,10,30,0.13,1,3.31,105,0.453,0.19,4.5,0.041,0.085,1.26,60,10,30,0.13,1,1.755,0.3775,0.1583,3.75,0.0342,0.0708,1.2117,10,48,24,0.1083,1,3,3
202,UNHIM_L,5.67,10,0.471,0.342,8.32,0.04,0.21,0.99,16,28,56,0.32,1,5.67,100,0.471,0.342,8.32,0.04,0.21,0.99,16,28,56,0.32,1,1.622,0.3768,0.2736,6.656,0.032,0.168,1.188,6,42,31,0.256,1,8,3
203,UNHUO_CL,3.79,10,0.464,0.31,8.32,0.075,0.187,1.25,18,27,55,0.3,1,3.79,100,0.464,0.31,8.32,0.075,0.187,1.25,18,27,55,0.3,1,1.515,0.348,0.2325,6.24,0.0563,0.1403,1.1225,12,30,32,0.225,1,9,3
204,UNHUO_SiL,3.79,10,0.501,0.284,4.98,0.015,0.135,1.25,18,27,55,0.38,1,3.79,100,0.501,0.284,4.98,0.015,0.135,1.25,18,27,55,0.38,1,1.515,0.3758,0.213,3.735,0.0113,0.1013,1.1225,12,30,32,0.285,1,4,3
205,UNHYW_SiL,5.56,10,0.501,0.284,4.98,0.015,0.135,1.28,26,17,57,0.38,1,5.56,110,0.501,0.284,4.98,0.015,0.135,1.28,26,17,57,0.38,1,2.8367,0.334,0.1893,3.32,0.01,0.09,1.0267,20,15,30,0.2533,1,4,2
206,UNKTY,32.59,10,0.453,0.19,4.5,0.041,0.085,1.32,67,9,24,0.13,1,32.59,100,0.453,0.19,4.5,0.041,0.085,1.32,67,9,24,0.13,1,30.12,0.3398,0.1425,3.375,0.0308,0.0638,1.0875,58,6,10,0.0975,1,3,1
207,UNKVN,3.53,10,0.464,0.31,8.32,0.075,0.187,1.3,27,37,36,0.3,1,3.53,100,0.464,0.31,8.32,0.075,0.187,1.3,27,37,36,0.3,1,1.375,0.348,0.2325,6.24,0.0563,0.1403,1.1375,8,38,28,0.225,1,9,4
208,UNLIC,3.61,10,0.479,0.371,10.38,0.056,0.251,1.21,12,50,38,0.26,1,3.61,100,0.479,0.371,10.38,0.056,0.251,1.21,12,50,38,0.26,1,1.49,0.3593,0.2783,7.785,0.042,0.1883,1.1075,2,42,30,0.195,1,11,4
209,UNLIC_C,39.31,10,0.453,0.19,4.5,0.041,0.085,1.22,76,10,14,0.13,1,39.31,100,0.453,0.19,4.5,0.041,0.085,1.22,76,10,14,0.13,1,1.3533,0.302,0.1267,3,0.0273,0.0567,0.98,3,45,18,0.0867,1,3,4
210,UNLIC_L,3.08,10,0.464,0.31,8.32,0.075,0.187,1.31,18,38,44,0.3,1,3.08,100,0.464,0.31,8.32,0.075,0.187,1.31,18,38,44,0.3,1,1.5225,0.348,0.2325,6.24,0.0563,0.1403,1.1025,3,46,25,0.225,1,9,4
211,UNLOD_L,9.72,10,0.463,0.232,5.77,0.027,0.116,1.26,38,15,47,0.3,1,9.72,100,0.463,0.232,5.77,0.027,0.116,1.26,38,15,47,0.3,1,8.095,0.3473,0.174,4.3275,0.0203,0.087,1.1525,37,9,29,0.225,1,6,2
212,UNLOW,73.18,10,0.453,0.19,4.5,0.041,0.085,1.01,79,7,14,0.13,1,73.18,100,0.453,0.19,4.5,0.041,0.085,1.01,79,7,14,0.13,1,46.97,0.302,0.1267,3,0.0273,0.0567,0.9867,62,1,3,0.0867,1,3,2
213,UNMUI,3.28,10,0.501,0.284,4.98,0.015,0.135,1.33,24,35,41,0.38,1,3.28,100,0.501,0.284,4.98,0.015,0.135,1.33,24,35,41,0.38,1,1.605,0.3758,0.213,3.735,0.0113,0.1013,1.1175,14,29,31,0.285,1,4,3
214,UNNDE,99.55,10,0.453,0.19,4.5,0.041,0.085,0.88,84,6,10,0.13,1,99.55,150,0.453,0.19,4.5,0.041,0.085,0.88,84,6,10,0.13,1,67.702,0.3624,0.152,3.6,0.0328,0.068,1.132,76,1,2,0.104,1,3,2
215,UNNGR,2.56,10,0.471,0.342,8.32,0.04,0.21,1.39,15,42,43,0.32,1,2.56,100,0.471,0.342,8.32,0.04,0.21,1.39,15,42,43,0.32,1,1.4375,0.3533,0.2565,6.24,0.03,0.1575,1.1125,1,47,26,0.24,1,8,3
216,UNOKL,39.54,10,0.453,0.19,4.5,0.041,0.085,1.14,70,10,20,0.13,1,39.54,100,0.453,0.19,4.5,0.041,0.085,1.14,70,10,20,0.13,1,17.174,0.3624,0.152,3.6,0.0328,0.068,1.278,55,7,16,0.104,1,3,2
217,UNPFD,86.68,10,0.437,0.062,3.39,0.02,0.024,1.43,97,1,2,0.02,1,86.68,240,0.437,0.062,3.39,0.02,0.024,1.43,97,1,2,0.02,1,80.6125,0.3824,0.0543,2.9663,0.0175,0.021,1.2263,84,0,2,0.0175,1,1,1
218,UNPFD_D,89.8,10,0.437,0.062,3.39,0.02,0.024,1.09,91,5,4,0.02,1,89.8,125,0.437,0.062,3.39,0.02,0.024,1.09,91,5,4,0.02,1,50.36,0.3496,0.0496,2.712,0.016,0.0192,1.15,76,3,0,0.016,1,1,1
219,UNPTH_SiL,4.22,10,0.501,0.284,4.98,0.015,0.135,1.26,22,23,55,0.38,1,4.22,110,0.501,0.284,4.98,0.015,0.135,1.26,22,23,55,0.38,1,1.85,0.4008,0.2272,3.984,0.012,0.108,1.22,18,25,37,0.304,1,4,3
220,UNSHV,3,10,0.471,0.342,8.32,0.04,0.21,1.3,5,31,64,0.32,1,3,105,0.471,0.342,8.32,0.04,0.21,1.3,5,31,64,0.32,1,1.77,0.3925,0.285,6.9333,0.0333,0.175,1.2083,1,50,31,0.2667,1,8,3
221,UNSHV_C,7.74,10,0.453,0.19,4.5,0.041,0.085,1.28,57,25,18,0.13,1,7.74,100,0.453,0.19,4.5,0.041,0.085,1.28,57,25,18,0.13,1,1.3025,0.3398,0.1425,3.375,0.0308,0.0638,1.145,3,43,28,0.0975,1,3,3
222,UNSIH,62.14,10,0.453,0.19,4.5,0.041,0.085,1.21,79,6,15,0.13,1,62.14,130,0.453,0.19,4.5,0.041,0.085,1.21,79,6,15,0.13,1,31.81,0.3775,0.1583,3.75,0.0342,0.0708,1.235,46,3,33,0.1083,1,3,2
223,UNSNA,16.2,10,0.501,0.284,4.98,0.015,0.135,1.34,32,21,47,0.38,1,16.2,100,0.501,0.284,4.98,0.015,0.135,1.34,32,21,47,0.38,1,3.2433,0.334,0.1893,3.32,0.01,0.09,1.1367,19,14,32,0.2533,1,4,2
224,UNSNA_V,16.2,10,0.501,0.284,4.98,0.015,0.135,1.34,32,21,47,0.38,1,16.2,100,0.501,0.284,4.98,0.015,0.135,1.34,32,21,47,0.38,1,3.2433,0.334,0.1893,3.32,0.01,0.09,1.1367,19,14,32,0.2533,1,4,1
225,UNSTD,46.87,10,0.437,0.105,3.86,0.035,0.047,1.38,64,5,31,0.04,1,46.87,100,0.437,0.105,3.86,0.035,0.047,1.38,64,5,31,0.04,1,40.598,0.3496,0.084,3.088,0.028,0.0376,1.148,64,4,11,0.032,1,2,1
226,UNTEW,10.58,10,0.463,0.232,5.77,0.027,0.116,1.16,31,13,56,0.3,1,10.58,110,0.463,0.232,5.77,0.027,0.116,1.16,31,13,56,0.3,1,17.325,0.3858,0.1933,4.8083,0.0225,0.0967,1.2083,40,10,33,0.25,1,6,2
227,UNTHN,179.3,10,0.501,0.284,4.98,0.015,0.135,0.97,24,18,58,0.38,1,179.3,100,0.501,0.284,4.98,0.015,0.135,0.97,24,18,58,0.38,1,45.6075,0.3758,0.213,3.735,0.0113,0.1013,1.03,22,13,39,0.285,1,4,2
228,UNTLD,4.03,10,0.471,0.342,8.32,0.04,0.21,1.14,7,42,51,0.32,1,4.03,100,0.471,0.342,8.32,0.04,0.21,1.14,7,42,51,0.32,1,1.525,0.3533,0.2565,6.24,0.03,0.1575,1.1075,5,31,38,0.24,1,8,4
229,UNTLD_C,9.35,10,0.453,0.19,4.5,0.041,0.085,1.4,56,18,26,0.13,1,9.35,100,0.453,0.19,4.5,0.041,0.085,1.4,56,18,26,0.13,1,3.8775,0.3398,0.1425,3.375,0.0308,0.0638,1.1325,18,22,34,0.0975,1,3,4
230,UNTLD_L,9.35,10,0.463,0.232,5.77,0.027,0.116,1.4,56,18,26,0.3,1,9.35,100,0.463,0.232,5.77,0.027,0.116,1.4,56,18,26,0.3,1,3.8775,0.3473,0.174,4.3275,0.0203,0.087,1.1325,18,22,34,0.225,1,6,4
231,UNTLD_SH,4.03,10,0.501,0.284,4.98,0.015,0.135,1.14,7,42,51,0.38,1,4.03,100,0.501,0.284,4.98,0.015,0.135,1.14,7,42,51,0.38,1,1.3867,0.334,0.1893,3.32,0.01,0.09,0.98,6,27,33,0.2533,1,4,3
232,UNTUC,4.53,10,0.463,0.232,5.77,0.027,0.116,1.22,22,23,55,0.3,1,4.53,100,0.463,0.232,5.77,0.027,0.116,1.22,22,23,55,0.3,1,29.9017,0.3858,0.1933,4.8083,0.0225,0.0967,1.2217,5,22,55,0.25,1,6,3
233,UNTVK,3.9,10,0.463,0.232,5.77,0.027,0.116,1.33,19,18,63,0.3,1,3.9,100,0.463,0.232,5.77,0.027,0.116,1.33,19,18,63,0.3,1,2.032,0.3704,0.1856,4.616,0.0216,0.0928,1.172,10,23,45,0.24,1,6,3
234,UNTVK_T,1.7,10,0.501,0.284,4.98,0.015,0.135,1.34,30,15,55,0.38,1,1.7,100,0.501,0.284,4.98,0.015,0.135,1.34,30,15,55,0.38,1,12.932,0.4008,0.2272,3.984,0.012,0.108,1.126,23,12,44,0.304,1,4,3
235,UNVIT,61.74,10,0.453,0.19,4.5,0.041,0.085,1.34,72,4,24,0.13,1,61.74,100,0.453,0.19,4.5,0.041,0.085,1.34,72,4,24,0.13,1,49.43,0.3883,0.1629,3.8571,0.0351,0.0729,1.2343,54,2,28,0.1114,1,3,3
236,UNVSS,15.97,10,0.453,0.19,4.5,0.041,0.085,1.13,55,17,28,0.13,1,15.97,105,0.453,0.19,4.5,0.041,0.085,1.13,55,17,28,0.13,1,20.7825,0.3398,0.1425,3.375,0.0308,0.0638,1.205,50,6,18,0.0975,1,3,3
237,UNVSS_P,34.55,10,0.464,0.31,8.32,0.075,0.187,0.1,55,17,28,0.3,1,34.55,105,0.464,0.31,8.32,0.075,0.187,0.1,55,17,28,0.3,1,19.82,0.3712,0.248,6.656,0.06,0.1496,1.19,51,8,20,0.24,1,9,3
238,UNWAM,78.4,10,0.437,0.062,3.39,0.02,0.024,1.41,89,2,9,0.02,1,78.4,150,0.437,0.062,3.39,0.02,0.024,1.41,89,2,9,0.02,1,58.8471,0.3746,0.0531,2.9057,0.0171,0.0206,1.24,76,2,6,0.0171,1,1,1
239,UNWAT,59.26,10,0.437,0.105,3.86,0.035,0.047,1.41,80,4,16,0.04,1,59.26,175,0.437,0.105,3.86,0.035,0.047,1.41,80,4,16,0.04,1,58.0375,0.3278,0.0788,2.895,0.0263,0.0353,1.0875,69,1,4,0.03,1,2,1
240,UNWIL,49.46,10,0.453,0.19,4.5,0.041,0.085,1.39,71,5,24,0.13,1,49.46,142,0.453,0.19,4.5,0.041,0.085,1.39,71,5,24,0.13,1,41.976,0.3624,0.152,3.6,0.0328,0.068,1.148,66,4,8,0.104,1,3,1
241,UNWIL_C,52.64,10,0.453,0.19,4.5,0.041,0.085,1.32,79,6,15,0.13,1,52.64,100,0.453,0.19,4.5,0.041,0.085,1.32,79,6,15,0.13,1,18.8525,0.3398,0.1425,3.375,0.0308,0.0638,1.0875,46,8,20,0.0975,1,3,1
242,UNWLL,3.41,10,0.479,0.371,10.38,0.056,0.251,1.23,7,48,45,0.26,1,3.41,100,0.479,0.371,10.38,0.056,0.251,1.23,7,48,45,0.26,1,1.4825,0.3593,0.2783,7.785,0.042,0.1883,1.1075,1,54,19,0.195,1,11,4
243,UNWSH,58.09,10,0.453,0.19,4.5,0.041,0.085,1.38,72,4,24,0.13,1,58.09,110,0.453,0.19,4.5,0.041,0.085,1.38,72,4,24,0.13,1,39.88,0.3624,0.152,3.6,0.0328,0.068,1.148,54,5,19,0.104,1,3,3
244,UNWUS,38.08,10,0.453,0.19,4.5,0.041,0.085,1.21,74,10,16,0.13,1,38.08,100,0.453,0.19,4.5,0.041,0.085,1.21,74,10,16,0.13,1,26.5467,0.3775,0.1583,3.75,0.0342,0.0708,1.2817,57,12,13,0.1083,1,3,3
245,UNZER,5.89,10,0.453,0.19,4.5,0.041,0.085,0.98,15,25,60,0.13,1,5.89,100,0.453,0.19,4.5,0.041,0.085,0.98,15,25,60,0.13,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2
246,UNZMH,34.96,10,0.464,0.31,8.32,0.075,0.187,0.1,23,60,17,0.3,1,34.96,149,0.464,0.31,8.32,0.075,0.187,0.1,23,60,17,0.3,1,1.05,0.232,0.155,4.16,0.0375,0.0935,0.735,11,30,8,0.15,1,9,4
247,UNZMK,34.55,10,0.464,0.31,8.32,0.075,0.187,0.1,23,60,17,0.3,1,34.55,149,0.464,0.31,8.32,0.075,0.187,0.1,23,60,17,0.3,1,1.05,0.232,0.155,4.16,0.0375,0.0935,0.735,11,30,8,0.15,1,9,4
248,UNZOR,34.55,10,0.464,0.31,8.32,0.075,0.187,0.1,23,60,17,0.3,1,34.55,149,0.464,0.31,8.32,0.075,0.187,0.1,23,60,17,0.3,1,1.05,0.232,0.155,4.16,0.0375,0.0935,0.735,11,30,8,0.15,1,9,4
249,VITSL,61.74,10,0.453,0.19,4.5,0.041,0.085,1.34,72,4,24,0.13,1,61.74,100,0.453,0.19,4.5,0.041,0.085,1.34,72,4,24,0.13,1,49.43,0.3883,0.1629,3.8571,0.0351,0.0729,1.2343,54,2,28,0.1114,1,3,3
250,VITSLT,9.71,10,0.453,0.19,4.5,0.041,0.085,1.28,40,15,45,0.13,1,9.71,100,0.453,0.19,4.5,0.041,0.085,1.28,40,15,45,0.13,1,21.38,0.302,0.1267,3,0.0273,0.0567,0.9867,40,5,20,0.0867,1,3,3
251,VSSORGO,34.55,10,0.464,0.31,8.32,0.075,0.187,0.1,55,17,28,0.3,1,34.55,105,0.464,0.31,8.32,0.075,0.187,0.1,55,17,28,0.3,1,19.82,0.3712,0.248,6.656,0.06,0.1496,1.19,51,8,20,0.24,1,9,3
252,VSSSL,15.97,10,0.453,0.19,4.5,0.041,0.085,1.13,55,17,28,0.13,1,15.97,105,0.453,0.19,4.5,0.041,0.085,1.13,55,17,28,0.13,1,20.7825,0.3398,0.1425,3.375,0.0308,0.0638,1.205,50,6,18,0.0975,1,3,3
253,WAMLS,78.4,10,0.437,0.105,3.86,0.035,0.047,1.41,89,2,9,0.04,1,78.4,150,0.437,0.105,3.86,0.035,0.047,1.41,89,2,9,0.04,1,58.8471,0.3746,0.09,3.3086,0.03,0.0403,1.24,76,2,6,0.0343,1,2,1
254,WAMS,78.4,10,0.437,0.062,3.39,0.02,0.024,1.41,89,2,9,0.02,1,78.4,150,0.437,0.062,3.39,0.02,0.024,1.41,89,2,9,0.02,1,58.8471,0.3746,0.0531,2.9057,0.0171,0.0206,1.24,76,2,6,0.0171,1,1,1
255,WATLS,59.26,10,0.437,0.105,3.86,0.035,0.047,1.41,80,4,16,0.04,1,59.26,175,0.437,0.105,3.86,0.035,0.047,1.41,80,4,16,0.04,1,58.0375,0.3278,0.0788,2.895,0.0263,0.0353,1.0875,69,1,4,0.03,1,2,1
256,WATSL,59.26,10,0.453,0.19,4.5,0.041,0.085,1.41,80,4,16,0.13,1,59.26,175,0.453,0.19,4.5,0.041,0.085,1.41,80,4,16,0.13,1,58.0375,0.3398,0.1425,3.375,0.0308,0.0638,1.0875,69,1,4,0.0975,1,3,1
257,WILL,49.46,10,0.463,0.232,5.77,0.027,0.116,1.39,71,5,24,0.3,1,49.46,142,0.463,0.232,5.77,0.027,0.116,1.39,71,5,24,0.3,1,41.976,0.3704,0.1856,4.616,0.0216,0.0928,1.148,66,4,8,0.24,1,6,1
258,WILLL,34.55,10,0.463,0.232,5.77,0.027,0.116,1.37,60,7,33,0.3,1,34.55,100,0.463,0.232,5.77,0.027,0.116,1.37,60,7,33,0.3,1,43.11,0.3704,0.1856,4.616,0.0216,0.0928,1.148,62,3,14,0.24,1,6,1
259,WILSL,49.46,10,0.453,0.19,4.5,0.041,0.085,1.39,71,5,24,0.13,1,49.46,142,0.453,0.19,4.5,0.041,0.085,1.39,71,5,24,0.13,1,41.976,0.3624,0.152,3.6,0.0328,0.068,1.148,66,4,8,0.104,1,3,1
260,WILSLC,52.64,10,0.453,0.19,4.5,0.041,0.085,1.32,79,6,15,0.13,1,52.64,100,0.453,0.19,4.5,0.041,0.085,1.32,79,6,15,0.13,1,18.8525,0.3398,0.1425,3.375,0.0308,0.0638,1.0875,46,8,20,0.0975,1,3,1
261,WLLSIC,3.41,10,0.479,0.371,10.38,0.056,0.251,1.23,7,48,45,0.26,1,3.41,100,0.479,0.371,10.38,0.056,0.251,1.23,7,48,45,0.26,1,1.4825,0.3593,0.2783,7.785,0.042,0.1883,1.1075,1,54,19,0.195,1,11,4
262,WLLSLC,3.41,10,0.453,0.19,4.5,0.041,0.085,1.23,40,20,40,0.13,1,3.41,100,0.453,0.19,4.5,0.041,0.085,1.23,40,20,40,0.13,1,1.4825,0.3398,0.1425,3.375,0.0308,0.0638,1.1075,1,54,19,0.0975,1,3,4
263,WOWSIL,10.15,10,0.501,0.284,4.98,0.015,0.135,1.3,36,13,51,0.38,1,10.15,100,0.501,0.284,4.98,0.015,0.135,1.3,36,13,51,0.38,1,14.1,0.4008,0.2272,3.984,0.012,0.108,1.156,31,10,38,0.304,1,4,2
264,WRNLS,53.04,10,0.437,0.105,3.86,0.035,0.047,1.3,77,6,17,0.04,1,53.04,100,0.437,0.105,3.86,0.035,0.047,1.3,77,6,17,0.04,1,57.9075,0.3278,0.0788,2.895,0.0263,0.0353,1.1075,71,1,3,0.03,1,2,3
265,WRNSL,53.04,10,0.453,0.19,4.5,0.041,0.085,1.3,77,6,17,0.13,1,53.04,100,0.453,0.19,4.5,0.041,0.085,1.3,77,6,17,0.13,1,57.9075,0.3398,0.1425,3.375,0.0308,0.0638,1.1075,71,1,3,0.0975,1,3,3
266,WSHLS,58.09,10,0.437,0.105,3.86,0.035,0.047,1.38,72,4,24,0.04,1,58.09,110,0.437,0.105,3.86,0.035,0.047,1.38,72,4,24,0.04,1,39.88,0.3496,0.084,3.088,0.028,0.0376,1.148,54,5,19,0.032,1,2,3
267,WSHSL,58.09,10,0.453,0.19,4.5,0.041,0.085,1.38,72,4,24,0.13,1,58.09,110,0.453,0.19,4.5,0.041,0.085,1.38,72,4,24,0.13,1,39.88,0.3624,0.152,3.6,0.0328,0.068,1.148,54,5,19,0.104,1,3,3
268,WTOSL,27.51,10,0.453,0.19,4.5,0.041,0.085,1.34,59,9,32,0.13,1,27.51,100,0.453,0.19,4.5,0.041,0.085,1.34,59,9,32,0.13,1,16.88,0.302,0.1267,3,0.0273,0.0567,0.9533,38,6,21,0.0867,1,3,1
269,WUSSL,38.08,10,0.453,0.19,4.5,0.041,0.085,1.21,74,10,16,0.13,1,38.08,100,0.453,0.19,4.5,0.041,0.085,1.21,74,10,16,0.13,1,26.5467,0.3775,0.1583,3.75,0.0342,0.0708,1.2817,57,12,13,0.1083,1,3,3
270,ZERSL,5.89,10,0.453,0.19,4.5,0.041,0.085,0.98,15,25,60,0.13,1,5.89,100,0.453,0.19,4.5,0.041,0.085,0.98,15,25,60,0.13,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2
271,ZMHORG,34.96,10,0.464,0.31,8.32,0.075,0.187,0.1,23,60,17,0.3,1,34.96,149,0.464,0.31,8.32,0.075,0.187,0.1,23,60,17,0.3,1,1.05,0.232,0.155,4.16,0.0375,0.0935,0.735,11,30,8,0.15,1,9,4
272,ZMKORG,34.55,10,0.464,0.31,8.32,0.075,0.187,0.1,23,60,17,0.3,1,34.55,149,0.464,0.31,8.32,0.075,0.187,0.1,23,60,17,0.3,1,1.05,0.232,0.155,4.16,0.0375,0.0935,0.735,11,30,8,0.15,1,9,4
273,ZORL,34.55,10,0.463,0.232,5.77,0.027,0.116,0.1,23,60,17,0.3,1,34.55,149,0.463,0.232,5.77,0.027,0.116,0.1,23,60,17,0.3,1,1.05,0.2315,0.116,2.885,0.0135,0.058,0.735,11,30,8,0.15,1,6,1
274,ZORORG,34.55,10,0.464,0.31,8.32,0.075,0.187,0.1,23,60,17,0.3,1,34.55,149,0.464,0.31,8.32,0.075,0.187,0.1,23,60,17,0.3,1,1.05,0.232,0.155,4.16,0.0375,0.0935,0.735,11,30,8,0.15,1,9,4
